"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Manassas","Manassas","38.7479","-77.4838","United States","US","USA","Virginia","","41501","1840003839"
"Clarksburg","Clarksburg","39.2863","-80.3230","United States","US","USA","West Virginia","","41453.0","1840005767"
"Catonsville","Catonsville","39.2646","-76.7424","United States","US","USA","Maryland","","41440","1840005679"
"Shelton","Shelton","41.3060","-73.1383","United States","US","USA","Connecticut","","41397","1840004840"
"South Valley","South Valley","35.0093","-106.6819","United States","US","USA","New Mexico","","41391","1840033724"
"La Quinta","La Quinta","33.6536","-116.2785","United States","US","USA","California","","41304","1840020559"
"Jamestown","Jamestown","42.0975","-79.2366","United States","US","USA","New York","","41236.0","1840000446"
"Buffalo Grove","Buffalo Grove","42.1674","-87.9616","United States","US","USA","Illinois","","41226","1840010143"
"Marion","Marion","40.5496","-85.6600","United States","US","USA","Indiana","","41165.0","1840013868"
"Bartlett","Bartlett","41.9803","-88.2070","United States","US","USA","Illinois","","41149","1840011246"
"Pottsville","Pottsville","40.6798","-76.2092","United States","US","USA","Pennsylvania","","41138.0","1840002775"
"Grove City","Grove City","39.8659","-83.0692","United States","US","USA","Ohio","","41022","1840007264"
"Puyallup","Puyallup","47.1794","-122.2902","United States","US","USA","Washington","","41001","1840019859"
"Channelview","Channelview","29.7914","-95.1145","United States","US","USA","Texas","","40983","1840018253"
"Maplewood","Maplewood","44.9840","-93.0247","United States","US","USA","Minnesota","","40918","1840008937"
"North Fort Myers","North Fort Myers","26.7243","-81.8491","United States","US","USA","Florida","","40916","1840014222"
"Shakopee","Shakopee","44.7744","-93.4764","United States","US","USA","Minnesota","","40893","1840008955"
"Linton Hall","Linton Hall","38.7551","-77.5750","United States","US","USA","Virginia","","40832","1840006100"
"Fitchburg","Fitchburg","42.5912","-71.8156","United States","US","USA","Massachusetts","","40793","1840000435"
"Oviedo","Oviedo","28.6580","-81.1872","United States","US","USA","Florida","","40785","1840015089"
"Coram","Coram","40.8813","-73.0059","United States","US","USA","New York","","40713","1840005032"
"Hobbs","Hobbs","32.7282","-103.1600","United States","US","USA","New Mexico","","40614.0","1840020616"
"Muskogee","Muskogee","35.7430","-95.3566","United States","US","USA","Oklahoma","","40588.0","1840020401"
"Torrington","Torrington","41.8349","-73.1281","United States","US","USA","Connecticut","","40583.0","1840004770"
"Brighton","Brighton","39.9716","-104.7964","United States","US","USA","Colorado","","40562","1840018784"
"Apache Junction","Apache Junction","33.3985","-111.5351","United States","US","USA","Arizona","","40538","1840019365"
"Odenton","Odenton","39.0661","-76.6939","United States","US","USA","Maryland","","40479","1840005912"
"Marlboro","Marlboro","40.3427","-74.2567","United States","US","USA","New Jersey","","40466","1840081649"
"Covington","Covington","39.0334","-84.5166","United States","US","USA","Kentucky","","40455","1840014263"
"Crystal Lake","Crystal Lake","42.2332","-88.3349","United States","US","USA","Illinois","","40421","1840006969"
"Weslaco","Weslaco","26.1648","-97.9898","United States","US","USA","Texas","","40358","1840022258"
"Calexico","Calexico","32.6849","-115.4944","United States","US","USA","California","","40351","1840019379"
"Holyoke","Holyoke","42.2125","-72.6411","United States","US","USA","Massachusetts","","40341","1840000465"
"Richmond","Richmond","37.7306","-84.2926","United States","US","USA","Kentucky","","40111.0","1840014341"
"Manalapan","Manalapan","40.2800","-74.3436","United States","US","USA","New Jersey","","40096","1840081648"
"Schertz","Schertz","29.5648","-98.2537","United States","US","USA","Texas","","40092","1840022213"
"Statesboro","Statesboro","32.4376","-81.7750","United States","US","USA","Georgia","","40090.0","1840015801"
"Carol Stream","Carol Stream","41.9182","-88.1308","United States","US","USA","Illinois","","39989","1840010169"
"Streamwood","Streamwood","42.0208","-88.1778","United States","US","USA","Illinois","","39978","1840011328"
"Amherst","Amherst","42.3645","-72.5069","United States","US","USA","Massachusetts","","39880","1840053454"
"Marlborough","Marlborough","42.3494","-71.5468","United States","US","USA","Massachusetts","","39873","1840000427"
"Friendswood","Friendswood","29.5112","-95.1979","United States","US","USA","Texas","","39839","1840020969"
"Mableton","Mableton","33.8132","-84.5656","United States","US","USA","Georgia","","39745","1840013690"
"New Castle","New Castle","40.9956","-80.3458","United States","US","USA","Pennsylvania","","39742.0","1840000938"
"New Berlin","New Berlin","42.9726","-88.1291","United States","US","USA","Wisconsin","","39740","1840003025"
"Westerville","Westerville","40.1241","-82.9209","United States","US","USA","Ohio","","39737","1840003763"
"Hillsborough","Hillsborough","40.4985","-74.6740","United States","US","USA","New Jersey","","39712","1840081699"
"Woburn","Woburn","42.4869","-71.1543","United States","US","USA","Massachusetts","","39701","1840003124"
"Romeoville","Romeoville","41.6319","-88.0996","United States","US","USA","Illinois","","39632","1840011489"
"Bartlesville","Bartlesville","36.7357","-95.9452","United States","US","USA","Oklahoma","","39568.0","1840018977"
"Warren","Warren","41.2390","-80.8174","United States","US","USA","Ohio","","39562","1840000652"
"Huntsville","Huntsville","30.7050","-95.5545","United States","US","USA","Texas","","39542.0","1840019565"
"Essex","Essex","39.3024","-76.4457","United States","US","USA","Maryland","","39494","1840005675"
"Westfield","Westfield","40.0333","-86.1532","United States","US","USA","Indiana","","39493","1840010500"
"Duncanville","Duncanville","32.6460","-96.9127","United States","US","USA","Texas","","39487","1840019442"
"Spanish Fork","Spanish Fork","40.1102","-111.6405","United States","US","USA","Utah","","39443","1840021398"
"Wentzville","Wentzville","38.8165","-90.8671","United States","US","USA","Missouri","","39414","1840010717"
"Marion","Marion","42.0452","-91.5847","United States","US","USA","Iowa","","39400","1840008099"
"Lancaster","Lancaster","32.5922","-96.7737","United States","US","USA","Texas","","39386","1840020714"
"Winslow","Winslow","39.7027","-74.9029","United States","US","USA","New Jersey","","39317","1840081680"
"Woodlawn","Woodlawn","39.3054","-76.7489","United States","US","USA","Maryland","","39296","1840005697"
"Delaware","Delaware","40.2866","-83.0747","United States","US","USA","Ohio","","39267","1840007237"
"Clinton","Clinton","38.7499","-76.9063","United States","US","USA","Maryland","","39230","1840005949"
"Herriman","Herriman","40.4898","-112.0169","United States","US","USA","Utah","","39224","1840020155"
"Lake Oswego","Lake Oswego","45.4129","-122.7003","United States","US","USA","Oregon","","39196","1840019955"
"Queen Creek","Queen Creek","33.2367","-111.6389","United States","US","USA","Arizona","","39184","1840021944"
"Germantown","Germantown","35.0829","-89.7825","United States","US","USA","Tennessee","","39141","1840013473"
"Los Banos","Los Banos","37.0631","-120.8405","United States","US","USA","California","","39122.0","1840020312"
"Pacifica","Pacifica","37.6112","-122.4781","United States","US","USA","California","","39087","1840020307"
"Asheboro","Asheboro","35.7157","-79.8129","United States","US","USA","North Carolina","","39076.0","1840013400"
"Hurst","Hurst","32.8353","-97.1808","United States","US","USA","Texas","","39051","1840019427"
"Sun City","Sun City","33.6165","-112.2819","United States","US","USA","Arizona","","39000","1840019311"
"Indian Trail","Indian Trail","35.0699","-80.6453","United States","US","USA","North Carolina","","38980","1840016453"
"Milton","Milton","34.1353","-84.3138","United States","US","USA","Georgia","","38924","1840014738"
"Newnan","Newnan","33.3765","-84.7760","United States","US","USA","Georgia","","38909","1840014833"
"Pleasant Grove","Pleasant Grove","40.3714","-111.7411","United States","US","USA","Utah","","38845","1840020173"
"The Acreage","The Acreage","26.7741","-80.2779","United States","US","USA","Florida","","38845","1840026061"
"Enterprise","Enterprise","31.3276","-85.8459","United States","US","USA","Alabama","","38737.0","1840001548"
"Severna Park","Severna Park","39.0870","-76.5687","United States","US","USA","Maryland","","38725","1840005926"
"Plant City","Plant City","28.0140","-82.1201","United States","US","USA","Florida","","38714","1840015115"
"Roy","Roy","41.1717","-112.0480","United States","US","USA","Utah","","38595","1840020132"
"Royal Palm Beach","Royal Palm Beach","26.7038","-80.2241","United States","US","USA","Florida","","38592","1840018309"
"Columbia","Columbia","35.6236","-87.0487","United States","US","USA","Tennessee","","38577.0","1840014518"
"Wheeling","Wheeling","42.1308","-87.9240","United States","US","USA","Illinois","","38562","1840011334"
"Butler","Butler","40.8615","-79.8962","United States","US","USA","Pennsylvania","","38447.0","1840000857"
"Martinez","Martinez","37.9985","-122.1160","United States","US","USA","California","","38373","1840020278"
"Meridian","Meridian","32.3846","-88.6897","United States","US","USA","Mississippi","","38294.0","1840014891"
"Lynnwood","Lynnwood","47.8285","-122.3035","United States","US","USA","Washington","","38273","1840019788"
"Junction City","Junction City","39.0271","-96.8497","United States","US","USA","Kansas","","38178.0","1840001620"
"Carpentersville","Carpentersville","42.1227","-88.2895","United States","US","USA","Illinois","","38162","1840010149"
"Rock Island","Rock Island","41.4699","-90.5827","United States","US","USA","Illinois","","38110","1840009233"
"Kailua","Kailua","21.3920","-157.7396","United States","US","USA","Hawaii","","38088","1840023244"
"Brookfield","Brookfield","43.0640","-88.1231","United States","US","USA","Wisconsin","","38045","1840003012"
"Huber Heights","Huber Heights","39.8595","-84.1130","United States","US","USA","Ohio","","37986","1840003782"
"Oswego","Oswego","43.4516","-76.5005","United States","US","USA","New York","","37917.0","1840000348"
"Reynoldsburg","Reynoldsburg","39.9587","-82.7943","United States","US","USA","Ohio","","37847","1840009473"
"Mooresville","Mooresville","35.5849","-80.8266","United States","US","USA","North Carolina","","37820","1840016215"
"Moses Lake","Moses Lake","47.1284","-119.2741","United States","US","USA","Washington","","37774.0","1840019817"
"Mechanicsville","Mechanicsville","37.6262","-77.3561","United States","US","USA","Virginia","","37674","1840006340"
"Rosenberg","Rosenberg","29.5460","-95.8220","United States","US","USA","Texas","","37661","1840020948"
"Valrico","Valrico","27.9193","-82.2293","United States","US","USA","Florida","","37546","1840028790"
"Forney","Forney","32.7440","-96.4529","United States","US","USA","Texas","","37521.0","1840020734"
"Issaquah","Issaquah","47.5420","-122.0444","United States","US","USA","Washington","","37487","1840018422"
"Menomonee Falls","Menomonee Falls","43.1487","-88.1227","United States","US","USA","Wisconsin","","37443","1840003020"
"Olive Branch","Olive Branch","34.9610","-89.8469","United States","US","USA","Mississippi","","37435","1840014641"
"London","London","37.1209","-84.0804","United States","US","USA","Kentucky","","37424.0","1840015258"
"Gallatin","Gallatin","36.3782","-86.4696","United States","US","USA","Tennessee","","37351","1840013295"
"Security-Widefield","Security-Widefield","38.7489","-104.7142","United States","US","USA","Colorado","","37325","1840074635"
"Penfield","Penfield","43.1602","-77.4483","United States","US","USA","New York","","37245","1840058391"
"Albertville","Albertville","34.2634","-86.2107","United States","US","USA","Alabama","","37220.0","1840013599"
"Mount Pleasant","Mount Pleasant","43.5966","-84.7759","United States","US","USA","Michigan","","37206.0","1840002663"
"Oakton","Oakton","38.8887","-77.3016","United States","US","USA","Virginia","","37166","1840006023"
"Braintree Town","Braintree Town","42.2039","-71.0022","United States","US","USA","Massachusetts","","37156","1840053545"
"Commack","Commack","40.8443","-73.2834","United States","US","USA","New York","","37117","1840005030"
"Farmers Branch","Farmers Branch","32.9272","-96.8806","United States","US","USA","Texas","","37088","1840020706"
"Monrovia","Monrovia","34.1650","-117.9921","United States","US","USA","California","","37061","1840020498"
"Galloway","Galloway","39.4914","-74.4802","United States","US","USA","New Jersey","","37029","1840081583"
"Kalispell","Kalispell","48.2156","-114.3261","United States","US","USA","Montana","","37024.0","1840018350"
"Parkland","Parkland","47.1417","-122.4376","United States","US","USA","Washington","","37019","1840018453"
"Oakville","Oakville","38.4472","-90.3199","United States","US","USA","Missouri","","37007","1840006121"
"San Juan","San Juan","26.1903","-98.1520","United States","US","USA","Texas","","36981","1840022256"
"Wildomar","Wildomar","33.6173","-117.2583","United States","US","USA","California","","36932","1840022902"
"Yorktown","Yorktown","41.2727","-73.8092","United States","US","USA","New York","","36900","1840088070"
"Clifton Park","Clifton Park","42.8587","-73.8242","United States","US","USA","New York","","36884","1840057994"
"Crestview","Crestview","30.7481","-86.5784","United States","US","USA","Florida","","36880.0","1840015007"
"Greenfield","Greenfield","42.9619","-88.0051","United States","US","USA","Wisconsin","","36827","1840003039"
"Addison","Addison","41.9314","-88.0085","United States","US","USA","Illinois","","36820","1840010171"
"Moorpark","Moorpark","34.2855","-118.8770","United States","US","USA","California","","36802","1840020472"
"Cottage Grove","Cottage Grove","44.8161","-92.9274","United States","US","USA","Minnesota","","36793","1840006735"
"Brighton","Brighton","43.1175","-77.5835","United States","US","USA","New York","","36753","1840057402"
"Shrewsbury","Shrewsbury","42.2842","-71.7154","United States","US","USA","Massachusetts","","36716","1840053699"
"Portage","Portage","41.5866","-87.1792","United States","US","USA","Indiana","","36672","1840009264"
"Winter Springs","Winter Springs","28.6889","-81.2704","United States","US","USA","Florida","","36635","1840015959"
"Calumet City","Calumet City","41.6134","-87.5505","United States","US","USA","Illinois","","36633","1840007023"
"Portsmouth","Portsmouth","38.7539","-82.9446","United States","US","USA","Ohio","","36622.0","1840001646"
"Cedar City","Cedar City","37.6834","-113.0956","United States","US","USA","Utah","","36592.0","1840018895"
"Dunedin","Dunedin","28.0329","-82.7863","United States","US","USA","Florida","","36545","1840014144"
"New Albany","New Albany","38.3076","-85.8241","United States","US","USA","Indiana","","36461","1840008662"
"Trumbull","Trumbull","41.2602","-73.2083","United States","US","USA","Connecticut","","36455","1840035628"
"St. Marys","St. Marys","30.7567","-81.5722","United States","US","USA","Georgia","","36447.0","1840015888"
"Ewing","Ewing","40.2650","-74.8005","United States","US","USA","New Jersey","","36437","1840081658"
"Merritt Island","Merritt Island","28.3146","-80.6713","United States","US","USA","Florida","","36380","1840014076"
"Oregon City","Oregon City","45.3414","-122.5927","United States","US","USA","Oregon","","36360","1840019954"
"Oak Creek","Oak Creek","42.8803","-87.9009","United States","US","USA","Wisconsin","","36354","1840003047"
"Roseville","Roseville","45.0155","-93.1544","United States","US","USA","Minnesota","","36314","1840008939"
